@relation 'data-weka.filters.unsupervised.attribute.Remove-V-R14,44,46,73,75,126,129,140,145,156,185,210,219,234,240,248,254,265,284,319,332,341-344,373,424,438,450,464,468,585,606,614,626,638,653-654,668,682,686,716,770,794-795,800,828,858,901'

@attribute attr13 numeric
@attribute attr43 numeric
@attribute attr45 numeric
@attribute attr72 numeric
@attribute attr74 numeric
@attribute attr125 numeric
@attribute attr128 numeric
@attribute attr139 numeric
@attribute attr144 numeric
@attribute attr155 numeric
@attribute attr184 numeric
@attribute attr209 numeric
@attribute attr218 numeric
@attribute attr233 numeric
@attribute attr239 numeric
@attribute attr247 numeric
@attribute attr253 numeric
@attribute attr264 numeric
@attribute attr283 numeric
@attribute attr318 numeric
@attribute attr331 numeric
@attribute attr340 numeric
@attribute attr341 numeric
@attribute attr342 numeric
@attribute attr343 numeric
@attribute attr372 numeric
@attribute attr423 numeric
@attribute attr437 numeric
@attribute attr449 numeric
@attribute attr463 numeric
@attribute attr467 numeric
@attribute attr584 numeric
@attribute attr605 numeric
@attribute attr613 numeric
@attribute attr625 numeric
@attribute attr637 numeric
@attribute attr652 numeric
@attribute attr653 numeric
@attribute attr667 numeric
@attribute attr681 numeric
@attribute attr685 numeric
@attribute attr715 numeric
@attribute attr769 numeric
@attribute attr793 numeric
@attribute attr794 numeric
@attribute attr799 numeric
@attribute attr827 numeric
@attribute attr857 numeric
@attribute theClass {positive,negative}

@data
-657426,-1,-1,-11170124,-10182984,-16621839,-16621067,-16756512,-16756782,-16687385,-16754717,-3421511,-16752427,-16750122,-2303795,-5640961,-8264449,-11615233,-65543,-66322,-6342338,-6044955,-6572322,-5191457,-1772561,-15047770,-16768585,-16753941,-1578788,-917761,-16761127,-1,-13595966,-524289,-15237667,-16033367,-16757291,-16751413,-16760365,-16757806,-13523201,-15168523,-16757302,-12346161,-12149297,-13265451,-10854817,-10858930,negative
-16250614,-16184308,-16447736,-15722459,-15922149,-14013384,-14140553,-12695450,-13684672,-13947075,-14343127,-8100570,-15454074,-13682085,-3169477,-13550196,-15583099,-13093046,-9662519,-2764575,-14145500,-8675875,-4268289,-851969,-1704193,-4401690,-14606564,-12170676,-9160192,-12299686,-11445928,-14465669,-12764588,-16769680,-10464720,-12105070,-7825999,-14799545,-13028241,-5128239,-13027291,-13158102,-15724769,-14144977,-13553096,-15198952,-14277594,-14540770,negative
-11779777,-12305084,-13623003,-12894889,-13817018,-13614456,-16372864,-14927732,-15129256,-14532207,-12297569,-6776168,-16768599,-16762213,-3816519,-16772448,-16762697,-13213261,-14196273,-16777071,-1,-6636312,-6047006,-6904367,-9731135,-5854004,-8553583,-3024674,-8948107,-4276025,-4407092,-16765548,-16766324,-16767336,-11849634,-16703086,-16767599,-15062395,-16769649,-16768367,-11391651,-10735526,-10266735,-6851964,-8758413,-10078117,-9949903,-9425622,negative
-1845805,-3029050,-2305073,-8224126,-7829628,-13615013,-15652799,-16248784,-15460550,-14537388,-15265487,-1184275,-658448,-6840665,-197124,-1250850,-1644831,-15264208,-1578527,-723469,-5721688,-1513247,-11448752,-1775904,-1,-1512986,-3949107,-1053458,-15134194,-1,-922385,-11187125,-11840921,-1842722,-11778454,-1513509,-1,-9210497,-1710886,-2829103,-12699041,-11449749,-13749709,-16777190,-16776926,-16777206,-5854780,-1,negative
-12910336,-4076568,-3689009,-16763148,-16759306,-16693777,-16758801,-16627472,-16626700,-16694036,-16763164,-12707328,-16759567,-16758290,-9756927,-16760082,-1,-16758543,-1,-16763153,-13166334,-4612,-921860,-1793,-2,-790017,-16762159,-986627,-13221804,-1250568,-1184516,-16769068,-16763161,-984598,-16498457,-16761121,-16761624,-16761626,-16761629,-16762393,-16695823,-16695570,-16630563,-16769822,-16771627,-16769825,-13924097,-10461635,negative
-9803674,-7109262,-10396604,-12745255,-12548917,-16768852,-16626495,-16763956,-16761411,-16768084,-12551977,-11058650,-16692796,-16766040,-14342616,-16759618,-16765513,-16750122,-16759101,-16689958,-16443611,-13867343,-12877635,-15376962,-16759880,-13209419,-13794586,-16754465,-16776955,-16758334,-16753698,-13141068,-16756793,-15512164,-16760379,-16767586,-16757833,-16774042,-16762970,-16755506,-16757301,-16757044,-16691772,-13931584,-16761159,-16760637,-15763727,-8156563,negative
-4276302,-14014173,-14802671,-10987157,-11316132,-15726012,-16777179,-16777213,-16777170,-8619862,-16777178,-5396833,-1841956,-4937566,-6252648,-1842726,-1,-10263713,-1,-1381917,-2,-657940,-10658473,-4804182,-1,-5923432,-16777186,-1,-12436938,-1,-1,-9015444,-4275765,-1,-9339766,-2105901,-2830146,-3421778,-460572,-2172469,-16711641,-15132092,-16777216,-12567975,-13028013,-13224372,-132865,-2319,negative
-1383195,-1,-8162696,-1,-10924195,-1186325,-1383451,-7304318,-2239273,-1449499,-1515038,-3226428,-9412506,-1977136,-4609112,-10134945,-6445395,-1385001,-5279232,-6198528,-1,-7242133,-4224000,-2184960,-3235071,-3235071,-2233616,-3564544,-11907503,-2842624,-3237120,-3564800,-6114634,-3565055,-11382443,-1576201,-3484451,-2694175,-7038562,-3219481,-2567475,-4870483,-3220016,-3153948,-4141358,-16777216,-2959403,-16777216,positive
-1904902,-393217,-12304056,-196609,-11579569,-2628882,-2497298,-2563356,-1708814,-2563090,-2628370,-8422010,-9079177,-1,-458753,-8552837,-11320027,-1,-8499712,-10861819,-16777216,-11451095,-8565504,-7971320,-8299516,-8037881,-6905697,-7840509,-16777216,-7643897,-7709182,-7906556,-8947603,-7972089,-13290450,-7763066,-7894650,-6117985,-10921391,-8289410,-16777216,-15856106,-7894142,-8881289,-9209997,-14868713,-9144462,-13684940,negative
-2827060,-11777687,-11316118,-16770952,-16770955,-15256965,-14994819,-15257991,-15391645,-15125636,-14995076,-12895433,-13745532,-16773024,-12302530,-5788000,-6116443,-9208185,-7105900,-8024177,-9077628,-8486521,-8091768,-7894649,-7828346,-16774043,-16770438,-8155761,-13553368,-15456136,-8089969,-6445664,-5789032,-8155764,-16509620,-5590369,-11445129,-11645341,-10723464,-14537620,-15524782,-12761256,-15587482,-15718550,-15653269,-15654040,-16773782,-12233600,negative
